Title,location,Job Description,Compensation,Employment Type,URL 
Training with Placement assistance, (Bangalore),"
        
Campus Drive Training Program

With

Certification & 100% Job Guarantee (Charges will be applicable)

Eligibility : BE, B-TECH, M-TECH, BCA, MCA, BSc, Diploma can apply.

Who wish you change from Non-IT to IT, Job seekers, Career gap/Backlogs can also apply.

Why to choose EVOLET Technologies ?

- Technology Training.

- Soft Skills Training.

- Internship.

- Certificate.

- Placement Assistance

You can directly contact me on  
    ",Campus Drive Training Program with placement (Charges will be applicable),part-time,https://bangalore.craigslist.org/sof/d/training-with-placement-assistance/6764281928.html
Job Opening for AR Caller / Sr. AR Caller (US Healthcare)," (Mumbai, Bangalore, Noida)","
        
Industry:BPO / KPO / ITES / RPO

Job Role:Associate/Sr.Associate - (Non Technical)

Annual Salary:INR225000-450000

Experience Required:1-4 Years

    ",https://www.universejobs.com/jobs/detail/ar-caller-sr.-ar-caller-us-healthcare-experienced-261175,full-time,https://bangalore.craigslist.org/csr/d/job-opening-for-ar-caller-sr-ar-caller/6753425312.html
JAVA | Internship | IEEE Projects | Training Cum Placement, (coimbatore),"
        
JAVA | Internship | IEEE Projects | Training Cum Placement

Java is already ruling the most of the software industries, and hence there are lot of applications and websites are developing every day. From desktop to data centers, games consoles to scientific super computers, cell phones to the internet, java is everywhere. Java is simply fast, secure, and reliable. The most Advantage of the Java programming language is that it is free and its syntax resemble to C-programming language which makes easier to developer to develop an application in Java. The Java Development Kit consists of tools which manage the memory efficiently, and because of such tools, good news is that it doesn't have pointers concept in it, which makes Java simpler.

JAVA | Internship | IEEE Projects | Training Cum Placement

Training would be provided with placements

internship on live data projects

project guidance will be provided or project will be provided

Get Internship Certificate

Get Placed at Evolet Technologies and their Clients.

JAVA | Internship | IEEE Projects | Training Cum Placement

Interested please do contact for further details at  


JAVA | Internship | IEEE Projects | Training Cum Placement    ",15000,full-time,https://bangalore.craigslist.org/sof/d/java-internship-ieee-projects-training/6764299780.html
"Hotel jobs in Bangalore, chef jobs in Bangalore | Bangalore - hotelier", (bangalore),"
        
Get latest updates about Hotel jobs in Bangalore by hotelierjobz. Get information on chef jobs, hotel jobs, hospitality jobs, restaurant jobs in different places around the world
https://www.hotelierjobz.com/hotel-jobs-bangalore.php
    ","Hotel jobs in Bangalore, chef jobs in Bangalore | Bangalore - hotelierjobz",full-time,https://bangalore.craigslist.org/fbh/d/hotel-jobs-in-bangalore-chef-jobs-in/6764292648.html
BPO Non Voice Process /  Voice Process, (kengeri Setilight Town),"
        
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience upto 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )

*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.
4-12-2018    ",80 to 3.5LPA,full-time,https://bangalore.craigslist.org/csr/d/bpo-non-voice-process-voice-process/6764386227.html
Online promoter for tourism company -direct joining," (Bangalore,Karnataka)","
        
Jobs available for part timers and fell timers also Crazy Holiday, one of the fast growing companies in travel and tourism, Is providing home based business opportunity. We need committed and results -oriented people who can join hands with us and contribute in the promotion and success of our business. Earn huge benefits in form of income ( weekly / monthly), Freebies and an excellent opportunity to build your own network and visibility in the tourism sector. Come and work in a No target, no selling, no work pressure, no time boundation and no boss environment. 
Thank you    ",5000 to 6000 weekly,part-time,https://bangalore.craigslist.org/mar/d/online-promoter-for-tourism-company/6764441182.html
Articles Writer,,"
        
We are looking for article writer that can write 2 to 3 articles monthly for our company. 

Topics: 
Leadership
Business
women
women in tech 
Marketing 
Entrepreneur
and success story about women 

If you like to join our awesome team, please email your resume and a sample of article with your rate per article.    ",$10 per article,contract,https://bangalore.craigslist.org/wri/d/articles-writer/6764957146.html
MAK-Dynamic website for your Business, (bangalore),"
        
Contact us for the first-rate Web development #mobileapp development and services. #Website Designing  # Web Hosting #Digital Marketing#Company Call us :  
 
visit : http://www.makweb.in    ",0000,full-time,https://bangalore.craigslist.org/web/d/mak-dynamic-website-for-your-business/6765132954.html
On job training and internship with Placement, (Bangalore),"
        
Fresher? Job seeker? Non it to it jobs? career gap? career back log ?

Get in to IT JOB through Campus drive training program!!!!!

Become a WEB developer / ANDROID APP Developer / Data Analyst / Software Testing/EMBEDDED, IOT/ Cloud Computing /DIGITAL MARKETING EXE...


Campus drive training program and Internship with Job assurance
    ",Campus Drive Training Program with placement (Charges will be applicable),part-time,https://bangalore.craigslist.org/sof/d/on-job-training-and-internship-with/6765138564.html
Application Developer | Internships | Final Year Projects, (coimbatore),"
        
In today's fast paced world people are wondering what really is mobile app development. Mobile application development is the process of making or creating a mobile application to run on various mobile platforms. A mobile platform is a mobile operating system.

EVOLET is one of the most recommended IT Training Institute in Coimbatore that offers hands on practical knowledge / practical implementation on live projects and will ensure the job with the help of advance level IT Training Courses. At EVOLET IT in Coimbatore is conducted by specialist working certified corporate professionals having 8+ years of experience in implementing real-time projects.

Application Developer | Internships | Final Year Projects

Training will be conducted on daily & weekly basis and also we can customizethe training schedule as per the candidate requirements.

Training will be conducted by certified professionals.

All our training programs are based on current industry standards.

Application Developer | Internships | Final Year Projects

Get Internship Certificate

Get Placed at Evolet Technologies and their Clients.

Interested please do contact for further details at  


We also provide Final Year Projects with Discounts!!!

Job Type: Full-time    ",15000,full-time,https://bangalore.craigslist.org/sof/d/application-developer-internships-final/6765152310.html
ME MTECH PROJECTS | VLSI EMBEDDED PROJECTS, (coimbatore),"
        
ME MTECH PROJECTS | VLSI EMBEDDED PROJECTS

We are engage in corporate training & training to fresh passed out engineer to get industry project hands-on by our class room training & live projects covering today industry need on ASIC design,Verification & bring up activity in the lab by INDUSTRY EXPERTS

We take example of the few of the popular interfaces to augment design and verification knowledge ex.PCI,PCI express,DDR interface,SPI,I2C,Ethernet,SATA,Fiber Channel,AHB,AXI,APB etc .so that Engineer ready for the requirement of the industry's need.

ME MTECH PROJECTS | VLSI EMBEDDED PROJECTS

Training will be conducted on daily & weekly basis and also we can customizethe training schedule as per the candidate requirements.

Training will be conducted by certified professionals.

All our training programs are based on current industry standards.

ME MTECH PROJECTS | VLSI EMBEDDED PROJECTS

We also provide Internships and Final Year Projects with Discounts!!!

Interested can CONTACT +91  


Final Year Students Can also Apply

Job Type: Full-time    ",15000,full-time,https://bangalore.craigslist.org/sof/d/me-mtech-projects-vlsi-embedded-projects/6765155677.html
Online home based jobs, (Chennai),"
        

Ad Reference No - 1001
Category	Jobs & Employment
Title	We are Hiring - Earn Rs.15000/- Per month - Simple Copy Paste Jobs
Description	Earn Rs.25000/- per month - Simple online Jobs - Are You Looking for Home-Based Online Jobs? - Are You a Student, Housewife, jobseeker ? - Are you ready to Work 1 to 2 Hours daily Online? - Do You need Guaranteed Payment Monthly? Then this is for You, - Clicking on their Advertisement E-mails. - Submitting their Data's online. - Reading their Advertisement Sms. - Filling Forms on their websites, etc,. FREE to Join >> http://dailyonlinejobs.com 
DPJ2132321  05 12 2018 18:11:37    ",1000 monthly,part-time,https://bangalore.craigslist.org/bus/d/online-home-based-jobs/6765199856.html
Graphic Designer," (Marathalli, Bangalore)","
        
I am graphic designer who would love to attend your any designing needs, be it poster, retouching, manipulation etc.
For my works you can visit my Instagram handle @parad0xer    ",5000-10000rs per project,contract,https://bangalore.craigslist.org/med/d/graphic-designer/6765232087.html
Skill Development for the youth of India, (Gurgaon),"
        
Encouraging skill development in the most local regions of the country is the job of the top skill development companies in India. These companies take the project from the government bodies and they transfer them to various training partners for further working on the training processes. Training partners work as a leading body and operate on behalf of Government of India to upgrade the skills of young candidates, they choose a number of highly advanced centres for the quality training in skill development. Candidates become competent to land best jobs in their domains. The vision behind this move is to create a suitable and growing environment for the students willing to participate so that they can become confident enough for the best opportunities in their respective areas of work along with being highly efficient in the productivity of their businesses. 

    ",Top skill development companies in India,full-time,https://bangalore.craigslist.org/edu/d/skill-development-for-the-youth-of-india/6765991249.html
Tourism company hiring candidates for tourism promoter," (Bangalore,Karnataka)","
        
Jobs available for part timers and full timers also job for retired employed ,home makers , students. We need passionate people for customer service ( work from home) to contribute in the promotion and growth of our business in travel and tourism earn huge benefits in form of income ( weekly / monthly), Freebies and an excellent opportunity to build your own network and visibility countrywide No target, No product selling, No boss ,No work pressure. All committed and interested people can call us . Looking forward to transforming your dreams to reality! 9741442567    ",5000 to 6000 weekly,part-time,https://bangalore.craigslist.org/mar/d/tourism-company-hiring-candidates-for/6765309683.html
Bsc Msc Internships Fianl year Projects, (coimbatore),"
        
Bsc Msc Internships Fianl year Projects

EVOLET is one of the most recommended IT Training Institute in Coimbatore that offers hands on practical knowledge / practical implementation on live projects and will ensure the job with the help of advance level IT Training Courses. At EVOLET IT in Coimbatore is conducted by specialist working certified corporate professionals having 8+ years of experience in implementing real-time projects.

Bsc Msc Internships Fianl year Projects

EVOLET offers one of the unique Bsc Msc internships in Coimbatore with placements. Best way to up-skill yourself in Software domain and land in a core job.

Unique combination of training + internship + real time projects

Gain real time industry experience by working on IT projects

Industry experts as mentors who delivered products successfully into markets

Complete project guidance in alignment with your university / college requirements

Achieve the dream of landing in CORE jobs

Interested can CONTACT +91  


Bsc Msc Internships Fianl year Projects    ",11000,full-time,https://bangalore.craigslist.org/sof/d/bsc-msc-internships-fianl-year-projects/6766002073.html
openings for capgemini, (Coimbatore),"
        
Come, Surge up your Career with SAP!!!

Hire and Train SAP Consultant.

Limited Period offer: Hurry, offer expires soon. 

Hire and Train program: SAP ABAP, FI, HR, SD, PP, MM

A leading Multi-National Consulting Company is hiring certified SAP debut consultants for its Mumbai, Bangalore and Pune locations. 

The module requirements are:
1) SAP ABAP (Advanced Business Application Programming) 
2) SAP FI (Financial Accounting)
3) SAP HCM (Human Capital Management)
4) SAP SD (Sales and Distribution)
5) SAP PP (Production Planning) 
6) SAP MM (Material Management)

Note: 
Candidates should have no gaps in their education
Professional experience of 0 - 3.5 years (max) is acceptable.
Compensation Package: 3.4L (non-negotiable)

For more information, please visit our office with your updated resume
Monday to Saturday (10 am to 6 pm) 

Contact person:sindhu
Contact number:  

Office address is as below:

eDrishyaa IT India Pvt Ltd 	
SAP Authorized Academy 
Tristar Towers,West Wing, 2nd Floor,
#657, Avinashi Road,
Coimbatore - 641037


    ",sap consultant,part-time,https://bangalore.craigslist.org/edu/d/openings-for-capgemini/6766024118.html
Golden Opportunity For DayShift," (Koramangala, Bangalore)","
        
HI, Everyone My name is SHAFFI KHAN,Associate HR at Quess. We 're excited about our upcoming recruiting drives and we 'd like to invite you to apply for any of our Customer Service positions and avail this opportunity to make your career in reputed companies . International BPO / E-commerce hiring Only Experience Candidate for Both International & Domestic Process. Please find the details : We are looking UG/GRAD /PG , Experience / Fresher CANDIDATES. 6 Months To 4 years Of Experience. Cab is provided both ways. 5 Days working. Any 2 days off in a week. Salary - 2L to 4.5Lacs Plus incentives. Candidates should be fluent in English and Hindi. And Shift starts at 8 AM in the morning and the last logout will be 1 AM in the night Any 9hrs Interested candidates Can Contact Shaffi Khan - 
 for Further Details. 

INTERNATIONAL MNC COMPANIES : JP Morgan Chase / Axis Bank / HSBC /Accenture /Infosys Bpo / Convergys /Syrow Infotech /HGS international/ First Source /Mphasis / Concentric Ethisalat Process/HP /HCL /Loyd 's Bank /SCOPE INTERNATIONAL /AMEX/ Cognizant /Agies International / Concentric Apple IOS Process / ITunes Process / Zenpower & Many More.

E-Commerce Companies :Agies Flipkart Process / Intelenet Flipkart Process /Zenify /Nestaway / HGS Domestic / Myntra.com /Flipkart / Amazon /Babajobs /BlackBug /Quikr.com / Just Dial / Deeksha.com / Sulekha.com /No Broker. Com /Swiggy.com/ Licious /Treebo Hotels /House Joy /CureFit /Urban Pro & Many More Companies.    ",4.5Lacs,full-time,https://bangalore.craigslist.org/csr/d/golden-opportunity-for-dayshift/6766781947.html
Airport Job," (Delhi, Kolkata.)","
        
Delhi duty free company..
Post..CSA
Qualifications.. graduation with good communication skills 
Salary..22 k etc plus incentives 
4 working days in a wk 
Location..Delhi airport

Contact Person HR Ankul
 


Send CV now
as8418412(gmail account)    ",We are ISO Certified 9001;2015,full-time,https://bangalore.craigslist.org/fbh/d/airport-job/6766795374.html
Online promoter required for tourism company," (Bangalore,Karnataka)","
        
Job opportunity employed, home makers,students crazy holiday,one of the fast growing company in travel and tourism, Is providing home based business opportunity. We need committed and result oriented people who can join hands with us and contribute in the promotion (weekly /monthly) , Freebies and an excellent opportunity to build your own network and visibility in the tourism sector. Come and work in a no target, no selling, no work pressure, no time boundation and no boss environment. Kindly provide your WhatsApp number while replying, thank you :9741442567    ",5000 to 6000 weekly,part-time,https://bangalore.craigslist.org/mar/d/online-promoter-required-for-tourism/6766304522.html
Android App Development Internship IEEE Projects in Coimbatore, (coimbatore),"
        
Android App Development Internship IEEE Projects in Coimbatore

From booking movie tickets to booking railway tickets, everything is moving to smartphones. To reach the target audience, every company & organisation is launching its mobile app. In this competitive market, there is a high demand for qualified & skilled mobile app developers.

If you are looking for a professional training institute or best training institute who works in an efficient professional manner and want to do courses like Web Design, Web Development, Graphic Design, Search Engine Optimization (SEO), then EVOLET is the right place for you.

Android App Development Internship IEEE Projects in Coimbatore

Our teaching methodology is heuristic, very different, and unique because of two main reasons. First, the programs we deliver are explicitly designed to help students in mastering the broad range of skills that is essential to become a creative industry professional. Secondly, we have a dedicated team of teachers and they are industry experts with a vast experience. This is the reason why our teaching environment is very dynamic.

Android App Development Internship in Coimbatore

Eligibility : Undergraduates/ graduates/ working professionals/ engineers

Interested can contact @  
 / 04224973999

Address : No 260, Second Floor, Avarampalayam Road,Above ICICI Bank,New Siddhapudur,Coimbatore - 641044.

Android App Development Internship IEEE Projects in Coimbatore Android App Development IEEE Projects in Coimbatore

    ",15000,full-time,https://bangalore.craigslist.org/edu/d/android-app-development-internship-ieee/6766816706.html
web development internship with Final Year Projects, (coimbatore),"
        
EVOLET is one of the most recommended IT Training Institute in Coimbatore that offers hands on practical knowledge / practical implementation on live projects and will ensure the job with the help of advance level IT Training Courses. At EVOLET IT in Coimbatore is conducted by specialist working certified corporate professionals having 8+ years of experience in implementing real-time projects.

Were looking for young talent induvidual to join our Internship/Training program.

Training includes: PHP, Mobile App Development,Big Data-Hadoop, Machine Learning, Artificial Intelligence (AI),web design,python,java.

After training we will be deploying you in our real time projects.

We also provide Final Year Projects with Discounts!

If youre interested call us @  


Qualifications-Any graduate Can Apply    ",15000,full-time,https://bangalore.craigslist.org/edu/d/web-development-internship-with-final/6766817353.html
openings for capgemini, (Coimbatore),"
        
Come, Surge up your Career with SAP!!!

Hire and Train SAP Consultant.

Limited Period offer: Hurry, offer expires soon. 

Hire and Train program: SAP ABAP, FI, HR, SD, PP, MM

A leading Multi-National Consulting Company is hiring certified SAP debut consultants for its Mumbai, Bangalore and Pune locations. 

The module requirements are:
1) SAP ABAP (Advanced Business Application Programming) 
2) SAP FI (Financial Accounting)
3) SAP HCM (Human Capital Management)
4) SAP SD (Sales and Distribution)
5) SAP PP (Production Planning) 
6) SAP MM (Material Management)

Note: 
Candidates should have no gaps in their education
Professional experience of 0 - 3.5 years (max) is acceptable.
Compensation Package: 3.4L (non-negotiable)

For more information, please visit our office with your updated resume
Monday to Saturday (10 am to 6 pm) 

Contact person: sindhu
Contact number:  


Office address is as below:

eDrishyaa IT India Pvt Ltd 	
SAP Authorized Academy 
Tristar Towers,West Wing, 2nd Floor,
#657, Avinashi Road,
Coimbatore - 641037


    ",sap consultant,full-time,https://bangalore.craigslist.org/edu/d/openings-for-capgemini/6766834076.html
Urgent Need Digital Marketing Specialist (remote job), (Remote),"
        
Hi

We are looking for MARKETING SPECIALIST
- Depending on the price we would like full-time (embedded into the business) but would accept 20 hours a week
- you must know Google search ads, Google remarketing, Google display, Yahoo/Bing ads and YouTube ads
- need to understand different marketing funnels (top of funnel, middle of funnel and bottom of funnel)
- would be great if you understood landing pages / content (which is VERY important for paid ads)
- overall need help to strategise and market paid ad strategy for the organisation    ",$3/hour,part-time,https://bangalore.craigslist.org/mar/d/urgent-need-digital-marketing/6753382791.html
BPO Non Voice Process /  Voice Process, (Kengeri Satellite Town),"
        
Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience up to 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
07-12-2018

    ",80 to 3.5LPA,full-time,https://bangalore.craigslist.org/csr/d/bpo-non-voice-process-voice-process/6766834295.html
Good Content Writers Required," (No. 90, 3rd Cross, 5th Block Jayanagar)","
        
We are looking for professional content writers who can write excellent contents based on the needs and demands of our visitors. The writer must replicate - produce contents for a financial company dealing in stock markets and capital markets.  Candidates can work on either part-time or full time basis. Knowledge and experience about financial market concepts such as Technical analysis, Fundamental analysis, stock picking etc. is an added advantage. Experience in content marketing is optional, but considered as a benefit.

Job description and Responsibilities:
* Must write original and informative contents for engaging readers
* Should have good knowledge and sound skills on plagiarism, Editing and blog writing. 
* Content creation for Blogs and Portals
* Time commitment, submitting the Articles before deadlines are important
* Must be creative and productive
* Interested candidates kindly contact us on Phone. Please mention the code word ""Rock"" when you contact us.    ",We pay good rate and provide regular work based on the performance of Content Writers,contract,https://bangalore.craigslist.org/wri/d/good-content-writers-required/6766871651.html
Android Developer training Internships Projects, (coimbatore),"
        
Android app development is a booming application area with multitude of small and big IT firms investing heavily on it. With SmartPhone usage sky-rocketing the App development space is witnessing booming Job oppurtinities for developer/solution architects/UX designers etc.

A software application run on android platform, Android App is designed to run on Android mobiles and tablets. The App is open source thereby making helping developers to introduce any new technological advancement. It has exclusive set of tools to develop mobile applications on Android platform. It has wide range of libraries which will help to create rich mobile applications.

Our training on Android App helps to master various application categories like multimedia, internet application, security applications. You will be able to create customizable user interface by learning to work on menus, dialogs and other controls. You will master networking and data storage concepts.Proceeding further you will be able to integrate, test and debug applications.

Get Internship Certificate

Get Placed at Evolet Technologies and their Clients.

We also provide Internships and Final Year Projects with Discounts!

Interested please do contact for further details at  
    ",15000,full-time,https://bangalore.craigslist.org/sof/d/android-developer-training-internships/6767647307.html
Implementation of Skill India Programme, (gurgaon),"
        
""Kaushal Bharat- Kushal Bharat""- A chance to develop India constructively. Skill India Programme is a comprehensive set of schemes aimed to train & develop the necessary skills including industrial as well as entrepreneurial skills. This scheme was launched by Prime Minister Narendra Modi on July, 15th, 2015 and was named as 'Skill India'. To train the youth of India in skill development in various segments of industrial areas of work, it was incepted to tap the potential of the country as its citizens are well competent and skilled for the taking up any job. It is a major project for the current scenario of our country as it is in the way to progress efficiently as we aim to build a conducive environment for further achievement of better job opportunities in local and foreign governments.
    ",Kaushal bharat kushal bharat skill india programme,full-time,https://bangalore.craigslist.org/edu/d/implementation-of-skill-india-programme/6767617184.html
openings for capgemini, (Coimbatore),"
        
Come, Surge up your Career with SAP!!!

Hire and Train SAP Consultant.

Limited Period offer: Hurry, offer expires soon. 

Hire and Train program: SAP ABAP, FI, HR, SD, PP, MM

A leading Multi-National Consulting Company is hiring certified SAP debut consultants for its Mumbai, Bangalore and Pune locations. 

The module requirements are:
1) SAP ABAP (Advanced Business Application Programming) 
2) SAP FI (Financial Accounting)
3) SAP HCM (Human Capital Management)
4) SAP SD (Sales and Distribution)
5) SAP PP (Production Planning) 
6) SAP MM (Material Management)

Note: 
Candidates should have no gaps in their education
Professional experience of 0 - 3.5 years (max) is acceptable.
Compensation Package: 3.4L (non-negotiable)

For more information, please visit our office with your updated resume
Monday to Saturday (10 am to 6 pm) 

Contact person: sindhu
Contact number:  


Office address is as below:

eDrishyaa IT India Pvt Ltd 	
SAP Authorized Academy 
Tristar Towers,West Wing, 2nd Floor,
#657, Avinashi Road,
Coimbatore - 641037


    ",sap consultant,full-time,https://bangalore.craigslist.org/edu/d/openings-for-capgemini/6767660815.html
Web designer Training placements and Internships, (coimbatore),"
        
Web designer Training placements and Internships

The Advanced Certification course in Website designing is a 100% practical web design course that encompasses all the essentials of web responsive design based on the latest international demands and trends.

The Advanced Certification course in Website designing is a practical course covering Advanced UI design and UX development intended to train the students through live projects, the intricacies of web designing to promote content Management, Excellent User Experience and efficient site architecture for search engines. This course would also include Domain, hosting and payment gateway integration for students interested in becoming online business owners.

Evolet has everything to train you right from designing responsive websites for computers, tablets, and mobiles, adding the latest trends in web programming to adding up-to-date multimedia contents. This web Designing course comes with a placement guarantee from Evolet based on existing vacancies among our networks of web designing companies in Coimbatore.

Web designer Training placements and Internships

We also provide Internships and Final Year Projects with Discounts!

Interested please do contact for further details at  
    ",15000,full-time,https://bangalore.craigslist.org/sof/d/web-designer-training-placements-and/6767646127.html
QA Engineer/QA manager/QA Lead, (Bangalore),"
        
Responsibilities

Build and manage a talented functional/automation QA engineers.
Defining the scope of testing within the context of each release.
Mentor team members in Quality standards, processes and best practices
Applying the appropriate test measurements and metrics in the product and the Testing Team
Collaborate with leaders of Development, Product Management, and Cloud operations teams
Requirements

Bachelor of Science, Computer Science/Engineering, or related discipline
Must have 5years to 10 years of experience on managing QA teams with an emphasis on automation
Ability to work as Scrum master for a scrum team is a plus.
Experience with tools and technologies such as JIRA, Selenium or Cucumber
Ability to handle an extremely fast-paced development environment while maintaining the highest quality standards.
Skills

Functional testing, Integration testing, Performance testing, Automation tools, Continuous Integration, Agile, SDLC process and QA concepts    ",As per industry Standards,full-time,https://bangalore.craigslist.org/sof/d/qa-engineer-qa-manager-qa-lead/6767870796.html
LOOKING FOR AN INTERN ONLY WEB DEVELOPER, (REMOTE - TO START),"
        
Looking an INTERN for a Web Development Project.

Ability to design and manage a company website.

Ability to understand all - when it comes to web development.

Ability to work alone 
Must be dedicated and willing learn

This is for an INTERNSHIP position. But, we will offer some compensation depending on experience.

Please, send RESUME only. NO LINKS.    ","This is for an INTERNSHIP position. But, we will offer some compensation depending on experience",full-time,https://bangalore.craigslist.org/web/d/looking-for-an-intern-only-web-developer/6768912512.html
Hiring for Data Entry/Fixed shifts/work from home/ part time, (kengeri Setilight Town),"
        
* Responsible for End to End Recruitment of IT & non IT profile.
* Knowledge of Job Portals, Job Posting, Advertisement through Social Media
* Daily Follow-Up, Line-Up, Mass Hiring, Candidate will be responsible for lining up candidates for open positions
* Responsible for on boarding & Induction.
* Develop and monitor sourcing plans.
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining Data base.

JOB SPECIFICATION: 

* Fluent English Communication Skills.
* Qualification Required: Any
* Preferred female candidate.
* Looking for Immediate joiners. 
7-12-2018    ",10000 to 20000,full-time,https://bangalore.craigslist.org/ofc/d/hiring-for-data-entry-fixed-shifts-work/6767909293.html
Part time work, (Bangalore),"
        
Dear Reader,
We, at Cool Trip Vacations, are looking for individuals who can promote our business (only on internet) in travel & tourism (part time/full time) & provide customer service to people across India.
Our company provides best-in-class service in the Travel & Tourism sector across world. Besides this Cool Trip vacations envisions providing income opportunity to those people who are passionate to fulfill their dreams. 
We are offering:
1. Day shift/No Targets/No Calling/No Product Selling. 
2. Work from home & earn huge weekly income (up to 10,000)
This position is open for people in service/business/college. Even retired/housewives/fresher can join us.
    ",no compensation,part-time,https://bangalore.craigslist.org/sls/d/part-time-work/6768486028.html
Microsoft Active Directory environment,,"
        

I am looking for remote freelance to support on a project that requires - consolidation of independent autonomous ADs in different locations to bring them under a single administration & creating hybrid setup with Office 365 tenant. Strong skills and experience needed around AD, forest, ADFS, O365 etc for a large and complex enterprise environment. Support needed is for design and implementation, working as part of existing team. Immediate project.

thanks   Steve    ",by agreement,contract,https://bangalore.craigslist.org/tch/d/microsoft-active-directory-environment/6767890782.html
BPO Non Voice Process /  Voice Process, (Kengeri Satellite Town),"
        
Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience upto 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
10-12-2018

    ",80000-350000LPA,full-time,https://bangalore.craigslist.org/csr/d/bpo-non-voice-process-voice-process/6768995951.html
Eminent Minds is Hiring for  HR Recruiter, (Kengeri Satellite Town),"
        
* Responsible for End to End Recruitment of IT & non IT profile.
* Knowledge of Job Portals, Job Posting, Advertisement through Social Media
* Daily Follow-Up, Line-Up, Mass Hiring, Candidate will be responsible for lining up candidates for open positions
* Responsible for on boarding & Induction.
* Develop and monitor sourcing plans.
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining Data base.

JOB SPECIFICATION: 

* Fluent English Communication Skills.
* Qualification Required: Any
* Preferred female candidate.
* Looking for Immediate joiners. 

Contact mobile-  
 *By-SKGADE2
10-12-2018

    ",8000 to 20000,full-time,https://bangalore.craigslist.org/hum/d/eminent-minds-is-hiring-for-hr-recruiter/6768994909.html
Embedded systems Internships | projects, (coimbatore),"
        
Why Embedded Systems Internships?

An Embedded System is specifically designed and developed to perform some specific tasks. It incorporates a microprocessor or microcontroller. Digital Cameras, Phones, Security systems, Automotive systems are a few examples of embedded systems. To perform specific functionality, it should be programmed correctly in both hardware and software aspects.

Scope of Embedded Systems :

Embedded software has found immediate application in disparate industry verticals like telecommunications, defense instruments, railroad networks, consumer electronics, electronic payments, and smart cards industry.

It is also playing a vital role in scientific world with its innovation of autonomous robots that could be deployed for personal use.

Why Evolet Technologies ?

EVOLET is one of the most recommended IT Training Institute in Coimbatore that offers hands on practical knowledge / practical implementation on live projects and will ensure the job with the help of advance level IT Training Courses.

Training will be conducted on daily & weekly basis and also we can customizethe training schedule as per the candidate requirements.

Training will be conducted by certified professionals.

All our training programs are based on current industry standards.

Final Year Students / Any degree with IT/Non It background can apply

Interested please do contact for further details at  


Job Type: Full-time    ",15000,full-time,https://bangalore.craigslist.org/edu/d/embedded-systems-internships-projects/6769035468.html
Post on Social Media,,"
        
Looking for 2 people to post and reply on social media.  You must be a member of 75+ groups that pertains to: Making money online groups, work from home groups, network marketing groups, ect.  If you have signed up to 75+ groups, you will automatically be hired. 

Send me proof of your membership with 75 plus FB groups.    ",$3 per hour plus bonus,part-time,https://bangalore.craigslist.org/mar/d/post-on-social-media/6769039092.html
